#name        zcmb     zhel     dz       mb        dmb      s        ds       color     dcolor   3rdvar         d3rdvar        cov_m_s       cov_m_ cov_s_c  set        
sn1993ag     0.05010  0.05010  0.00000  17.79930  0.01431  0.91472  0.01791   0.09582  0.01733   11.58000    0.12350   0.00009000   0.00012000  -0.00004000    0
sn1990af     0.05022  0.05022  0.00000  17.72323  0.00578  0.73714  0.00042  -0.00090  0.00891   11.58000    0.12350   0.00000000   0.00002000   0.00000000    0
sn1993o      0.05298  0.05298  0.00000  17.61356  0.01069  0.90140  0.01002  -0.01419  0.01104   11.58000    0.12350   0.00007000   0.00007000   0.00002000    0
sn1998dx     0.05371  0.05371  0.00000  17.65999  0.05502  0.73344  0.03892  -0.02834  0.01882   11.58000    0.12350  -0.00175000   0.00089000  -0.00041000    0
sn1992bs     0.06336  0.06336  0.00000  18.17664  0.04075  1.00093  0.01816  -0.03439  0.01949   11.58000    0.12350  -0.00035000   0.00063000  -0.00014000    0
sn1993b      0.07076  0.07076  0.00000  18.37721  0.05389  0.98830  0.02156   0.04080  0.02626   11.58000    0.12350  -0.00055000   0.00119000  -0.00022000    0
sn1992ae     0.07479  0.07479  0.00000  18.39206  0.03650  0.93856  0.02052  -0.02252  0.02501   11.58000    0.12350  -0.00031000   0.00068000  -0.00017000    0
sn1992bp     0.07885  0.07885  0.00000  18.28149  0.01101  0.87342  0.01355  -0.04348  0.01229   11.58000    0.12350   0.00004000   0.00005000  -0.00001000    0
sn1992br     0.08776  0.08776  0.00000  19.39770  0.07270  0.64962  0.02888   0.03214  0.03666   11.58000    0.12350  -0.00167000   0.00220000  -0.00062000    0
sn1992aq     0.10083  0.10083  0.00000  19.29898  0.02775  0.83906  0.03161  -0.04778  0.02037   11.58000    0.12350  -0.00023000   0.00027000  -0.00000000    0
sn1996ab     0.12470  0.12470  0.00000  19.52488  0.02724  0.95732  0.03273  -0.07436  0.01505   11.21700    0.03300  -0.00058000   0.00011000  -0.00010000    0
03D3bh       0.24860  0.24860  0.00100  21.13202  0.02064  0.99304  0.00751  -0.09017  0.01317   10.74500    0.66550   0.00008000   0.00022000   0.00003000    0
04D3ez       0.26300  0.26300  0.00100  21.67771  0.00366  0.89463  0.00583   0.09111  0.00341   10.29000    0.01200   0.00001000   0.00000000   0.00000000    0
03D4ag       0.28500  0.28500  0.00100  21.23667  0.00489  1.05852  0.00530  -0.06138  0.00367   10.62800    0.09900   0.00002000  -0.00000000   0.00000000    0
03D3ba       0.29120  0.29120  0.00100  22.04897  0.03420  1.03618  0.02131   0.26348  0.01479   10.21100    0.09350  -0.00035000   0.00040000  -0.00012000    0
03D1fc       0.33100  0.33100  0.00100  21.79967  0.00501  0.93695  0.00491   0.04215  0.00409   10.39100    0.03600   0.00002000   0.00001000   0.00000000    0
04D3kr       0.33730  0.33730  0.00100  21.96696  0.00328  1.06351  0.00359   0.07219  0.00345    9.28700    0.06650   0.00001000   0.00001000   0.00000000    0
04D3nh       0.34020  0.34020  0.00100  22.13722  0.00400  1.01111  0.00583   0.08881  0.00377    9.35600    0.02050   0.00002000   0.00000000   0.00001000    0
03D1bp       0.34600  0.34600  0.00100  22.46491  0.01355  0.88022  0.00711   0.14271  0.01721   10.82100    0.12350   0.00000000   0.00019000   0.00001000    0
04D2fs       0.35700  0.35700  0.00100  22.42215  0.00828  0.94205  0.00860   0.12815  0.00772    8.38600    0.29400   0.00004000   0.00003000   0.00003000    0
04D3fk       0.35780  0.35780  0.00100  22.53246  0.00551  0.91314  0.00540   0.14920  0.00573   10.18900    0.07650   0.00002000   0.00001000   0.00001000    0
04D2cf       0.36900  0.36900  0.00100  22.33990  0.00729  0.89501  0.00338   0.00187  0.01028   10.80900    0.15750   0.00000000   0.00003000   0.00000000    0
03D3ay       0.37090  0.37090  0.00100  22.20093  0.01551  0.96781  0.01045  -0.01787  0.01419   10.19800    0.06750   0.00012000   0.00012000   0.00002000    0
04D2fp       0.41500  0.41500  0.00100  22.52839  0.01458  0.96425  0.00977   0.00635  0.01496   10.23500    0.21750   0.00005000   0.00009000   0.00002000    0
04D2gb       0.43000  0.43000  0.00100  22.79582  0.01791  0.77694  0.01298  -0.00765  0.02513   10.24600    0.09000   0.00010000   0.00029000   0.00005000    0
03D3aw       0.44900  0.44900  0.00100  22.55213  0.01621  0.95451  0.01269  -0.04757  0.01888   10.69500    0.03400   0.00016000   0.00005000  -0.00002000    0
04D3gt       0.45100  0.45100  0.00100  23.23506  0.00973  0.95275  0.00958   0.27634  0.01633   11.34000    0.09450   0.00003000   0.00006000  -0.00000000    0
03D3cd       0.46070  0.46070  0.00100  22.56216  0.01654  1.13099  0.03402   0.02534  0.01133    9.33900    0.15200   0.00053000   0.00014000   0.00024000    0
03D3cc       0.46270  0.46270  0.00100  22.55775  0.11120  1.07437  0.03065  -0.07007  0.04988   10.61900    0.09700  -0.00264000   0.00535000  -0.00111000    0
04D3df       0.47000  0.47000  0.00100  23.46507  0.00953  0.73030  0.00980   0.05988  0.01712   11.58000    0.12350   0.00003000   0.00005000   0.00000000    0
03D1ax       0.49600  0.49600  0.00100  22.95727  0.01116  0.89906  0.01011  -0.04368  0.02117   11.58000    0.11250  -0.00001000   0.00000000  -0.00000000    0
03D1au       0.50430  0.50430  0.00100  22.97838  0.00996  1.12385  0.01950   0.02985  0.01810    9.51700    0.11050   0.00000000   0.00001000   0.00005000    0
04D2gc       0.52100  0.52100  0.00100  23.32099  0.01437  1.06550  0.02380   0.18473  0.02195    9.32600    0.20250   0.00018000   0.00006000   0.00003000    0
04D1ak       0.52600  0.52600  0.00100  23.63127  0.02781  0.82424  0.02106   0.01782  0.03337    9.43600    0.05500   0.00047000   0.00044000   0.00033000    0
03D3af       0.53200  0.53200  0.00100  23.47036  0.02666  0.90692  0.02287   0.02862  0.03139   10.20600    0.04550   0.00045000  -0.00024000  -0.00009000    0
03D1gt       0.54800  0.54800  0.00100  24.11922  0.04767  0.85607  0.04181   0.24442  0.05037   10.61300    0.15750   0.00175000   0.00158000   0.00136000    0
04D4bq       0.55000  0.55000  0.00100  23.36165  0.02056  0.99522  0.02881   0.11232  0.02735    8.70600    0.75250   0.00041000   0.00026000   0.00032000    0
04D3hn       0.55160  0.55160  0.00100  23.47459  0.01085  0.89812  0.01077   0.10596  0.01739   10.79000    0.02200   0.00005000  -0.00000000   0.00002000    0
04D1ag       0.55700  0.55700  0.00100  23.00289  0.01089  0.94408  0.01326  -0.18157  0.01674   11.55400    0.09350   0.00010000   0.00002000   0.00013000    0
03D4gl       0.57100  0.57100  0.00100  23.26929  0.02596  0.95667  0.03307   0.02971  0.02755    9.32200    0.10850   0.00068000   0.00012000   0.00039000    0
03D4gf       0.58100  0.58100  0.00100  23.35138  0.01326  1.00876  0.02642  -0.05614  0.02433    7.63800    0.29050   0.00011000  -0.00008000   0.00035000    0
03D1aw       0.58170  0.58170  0.00100  23.59876  0.01955  1.00171  0.02377   0.01823  0.03041    9.16900    0.08800  -0.00001000  -0.00006000   0.00025000    0
03D4gg       0.59200  0.59200  0.00100  23.40252  0.02387  0.96617  0.04885   0.06219  0.03525   10.16200    0.00550   0.00038000  -0.00034000   0.00070000    0
03D4dy       0.60400  0.60400  0.00100  23.31324  0.00966  1.05606  0.00143   0.12218  0.01499    5.29400    0.10000   0.00000000  -0.00005000   0.00000000    0
04D3do       0.61000  0.61000  0.00100  23.57367  0.01414  0.86161  0.01314  -0.07932  0.01878   10.48500    0.07100   0.00007000  -0.00005000   0.00007000    0
04D4an       0.61300  0.61300  0.00100  24.02198  0.02270  0.82332  0.02543   0.06400  0.02466   10.54100    0.15400   0.00041000  -0.00002000   0.00022000    0
04D3co       0.62000  0.62000  0.00100  23.78140  0.02232  0.89476  0.01713  -0.06436  0.03032    9.51700    0.24300   0.00022000  -0.00003000   0.00013000    0
03D4dh       0.62680  0.62680  0.00100  23.38867  0.01124  1.06116  0.01278   0.02804  0.01564    9.41400    0.16250   0.00005000  -0.00006000   0.00005000    0
03D4at       0.63300  0.63300  0.00100  23.74624  0.02005  0.98947  0.02861  -0.06006  0.02999    8.75100    0.07750   0.00020000  -0.00015000   0.00033000    0
04D3cy       0.64300  0.64300  0.00100  23.79805  0.04061  0.96316  0.01580   0.01733  0.02916    9.98000    0.21200   0.00016000  -0.00013000   0.00012000    0
03D1co       0.67900  0.67900  0.00100  24.09375  0.03338  0.97489  0.03227  -0.02145  0.04739    8.64700    0.28400   0.00046000  -0.00012000   0.00066000    0
03D1fl       0.68800  0.68800  0.00100  23.62919  0.01511  0.99878  0.02400  -0.07028  0.02052   10.86900    0.10450   0.00004000  -0.00013000   0.00014000    0
04D2iu       0.69100  0.69100  0.00100  24.25791  0.04803  0.79950  0.03506   0.07426  0.05593   11.58000    0.12350   0.00082000  -0.00124000   0.00015000    0
03D4cz       0.69500  0.69500  0.00100  24.01902  0.03634  0.72916  0.02434  -0.06915  0.04305   10.38900    0.24500   0.00059000  -0.00004000   0.00036000    0
04D2gp       0.70700  0.70700  0.00100  24.15077  0.04731  0.80051  0.00171  -0.05216  0.05954    8.83400    0.23000   0.00000000  -0.00179000   0.00000000    0
04D3is       0.71000  0.71000  0.00100  24.25620  0.02745  0.97155  0.00167   0.22004  0.03750   11.58000    0.12350   0.00000000  -0.00052000   0.00000000    0
04D1aj       0.72100  0.72100  0.00100  23.90088  0.02981  1.07407  0.06724   0.07213  0.03833   11.58000    0.12350   0.00118000  -0.00002000   0.00155000    0
04D3fq       0.73000  0.73000  0.00100  24.12796  0.02581  0.89968  0.01434  -0.00248  0.03708    9.29900    0.04550   0.00002000  -0.00048000   0.00010000    0
04D2ja       0.74100  0.74100  0.00100  24.09780  0.04477  0.94544  0.03614  -0.06650  0.04298   10.99100    0.09450   0.00083000  -0.00096000   0.00031000    0
04D3ks       0.75200  0.75200  0.00100  23.88173  0.03531  1.01289  0.03674   0.02565  0.04290    8.45900    0.22600   0.00042000  -0.00063000   0.00083000    0
04D3oe       0.75600  0.75600  0.00100  24.06869  0.02585  0.78329  0.02837  -0.25899  0.03343    7.49200    0.10000   0.00038000  -0.00004000   0.00067000    0
03D4fd       0.79100  0.79100  0.00100  24.21244  0.04463  0.91903  0.03346   0.02803  0.04379   10.00500    0.21950   0.00001000  -0.00053000   0.00081000    0
03D1fq       0.80000  0.80000  0.00100  24.51930  0.03046  0.80634  0.05151   0.02709  0.03040   10.65100    0.12700   0.00111000   0.00013000   0.00089000    0
04D3ny       0.81000  0.81000  0.00100  24.27248  0.06075  1.00524  0.08352  -0.06539  0.15243   10.03200    0.26200   0.00219000  -0.00483000   0.00147000    0
04D4dm       0.81100  0.81100  0.00100  24.38978  0.04396  1.00001  0.05673  -0.16061  0.15025    8.97700    0.12350   0.00027000  -0.00432000   0.00204000    0
04D3nc       0.81700  0.81700  0.00100  24.27118  0.04761  1.11144  0.06422   0.06192  0.14026    9.12700    0.07650   0.00136000  -0.00346000   0.00228000    0
03D4cn       0.81800  0.81800  0.00100  24.65175  0.05670  0.74295  0.05933   0.02314  0.15754   10.20200    0.43050   0.00055000  -0.00580000  -0.00014000    0
04D3lu       0.82180  0.82180  0.00100  24.34232  0.03964  0.94972  0.02840   0.01911  0.11615   11.11100    0.07650   0.00035000  -0.00322000   0.00011000    0
04D3cp       0.83000  0.83000  0.00100  24.23546  0.06279  1.11020  0.03459  -0.44767  0.17991   10.67900    0.32650   0.00053000  -0.01030000   0.00006000    0
04D4bk       0.84000  0.84000  0.00100  24.31434  0.03751  1.04972  0.05131   0.14235  0.09797    7.84400    1.08600   0.00073000  -0.00225000   0.00134000    0
03D1ew       0.86800  0.86800  0.00100  24.35867  0.07832  1.02827  0.04000  -0.10230  0.16893    8.53000    0.80500   0.00045000  -0.01217000   0.00025000    0
03D1cm       0.87000  0.87000  0.00100  24.46853  0.06641  1.17281  0.06093  -0.03463  0.14327    9.88300    0.07050   0.00087000  -0.00762000  -0.00007000    0
03D4di       0.90500  0.90500  0.00100  24.28774  0.06795  1.10332  0.04133   0.02902  0.11981    9.87900    0.06350   0.00060000  -0.00705000   0.00027000    0
04D3gx       0.91000  0.91000  0.00100  24.70768  0.09406  0.95171  0.04684  -0.20193  0.16306   11.58000    0.12350   0.00051000  -0.01404000   0.00113000    0
03D4cy       0.92710  0.92710  0.00100  24.71801  0.10947  1.03111  0.05237  -0.30516  0.17448    9.70500    0.23550   0.00079000  -0.01715000   0.00114000    0
04D3ki       0.93000  0.93000  0.00100  24.87087  0.12622  0.90060  0.03912  -0.25609  0.19408   10.55400    0.30450   0.00077000  -0.02308000   0.00035000    0
03D4cx       0.94900  0.94900  0.00100  24.50426  0.08290  0.88221  0.01935   0.08012  0.12356   11.00800    0.15700   0.00011000  -0.00916000   0.00011000    0
04D3ml       0.95000  0.95000  0.00100  24.55182  0.08522  1.18159  0.01535   0.11697  0.12158    9.88200    0.20850   0.00004000  -0.00912000   0.00014000    0
04D3nr       0.96000  0.96000  0.00100  24.54162  0.07468  0.92235  0.04520   0.06957  0.10988   11.58000    0.12350   0.00071000  -0.00634000   0.00151000    0
04D4dw       0.96100  0.96100  0.00100  24.56580  0.09338  0.96204  0.05770  -0.11685  0.13762   10.78500    0.22000  -0.00049000  -0.01171000   0.00300000    0
04D3lp       0.98300  0.98300  0.00100  24.92516  0.16795  0.83070  0.04897   0.02190  0.21066    8.89500    0.12500   0.00109000  -0.03304000   0.00079000    0
04D3dd       1.01000  1.01000  0.00100  25.11960  0.19207  1.08759  0.07376  -0.07081  0.20489    9.48000    0.13350   0.00448000  -0.03665000  -0.00055000    0
